
### Skeleton (220)
FJ3376   FMA45097   bone organ Sesamoid bone of right foot
FJ3172   FMA12525   bone organ Seventh cervical vertebra
FJ3173   FMA9968    bone organ Seventh thoracic vertebra
FJ3170   FMA12524   bone organ Sixth cervical vertebra
FJ3171   FMA9945    bone organ Sixth thoracic vertebra
FJ3394   FMA52736   bone organ Sphenoid bone
FJ3154   FMA10037   bone organ Tenth thoracic vertebra
FJ3161   FMA12521   bone organ Third cervical vertebra
FJ3162   FMA13074   bone organ Third lumbar vertebra
FJ3163   FMA9209    bone organ Third thoracic vertebra
FJ3156   FMA10081   bone organ Twelfth thoracic vertebra
FJ3395   FMA9710    bone organ Vomer
FJ3153   FMA7488    bone       Xiphoid process

### Joints & ligaments (40)
FJ1284   FMA49145   ligament   Check ligament of left lateral rectus
FJ1292   FMA49148   ligament   Check ligament of left medial rectus
FJ1334   FMA49144   ligament   Check ligament of right lateral rectus
FJ1335   FMA49147   ligament   Check ligament of right medial rectus
FJ1476M  FMA23708   ligament   Interosseous membrane of left forearm
FJ1392M  FMA35193   ligament   Interosseous membrane of left leg
FJ1476   FMA23707   ligament   Interosseous membrane of right forearm
FJ1392   FMA35192   ligament   Interosseous membrane of right leg
FJ3211   FMA10446   ligament   Intervertebral disk
FJ3202   FMA25058   ligament   Intervertebral disk of axis
FJ3207   FMA13505   ligament   Intervertebral disk of eighth thoracic vertebra
FJ3210   FMA13508   ligament   Intervertebral disk of eleventh thoracic vertebra
FJ3219   FMA13898   ligament   Intervertebral disk of fifth cervical vertebra
FJ3217   FMA16037   ligament   Intervertebral disk of fifth lumbar vertebra
FJ3204   FMA13502   ligament   Intervertebral disk of fifth thoracic vertebra
FJ3212   FMA16033   ligament   Intervertebral disk of first lumbar vertebra
FJ3222   FMA10458   ligament   Intervertebral disk of first thoracic vertebra
FJ3218   FMA13897   ligament   Intervertebral disk of fourth cervical vertebra
FJ3216   FMA16036   ligament   Intervertebral disk of fourth lumbar vertebra
FJ3203   FMA13501   ligament   Intervertebral disk of fourth thoracic vertebra
FJ3208   FMA13506   ligament   Intervertebral disk of ninth thoracic vertebra
FJ3214   FMA16034   ligament   Intervertebral disk of second lumbar vertebra
FJ3223   FMA13495   ligament   Intervertebral disk of second thoracic vertebra
FJ3221   FMA13900   ligament   Intervertebral disk of seventh cervical vertebra
FJ3206   FMA13504   ligament   Intervertebral disk of seventh thoracic vertebra
FJ3220   FMA13899   ligament   Intervertebral disk of sixth cervical vertebra
FJ3205   FMA13503   ligament   Intervertebral disk of sixth thoracic vertebra
FJ3209   FMA13507   ligament   Intervertebral disk of tenth thoracic vertebra
FJ3213   FMA13896   ligament   Intervertebral disk of third cervical vertebra
FJ3215   FMA16035   ligament   Intervertebral disk of third lumbar vertebra
FJ3224   FMA13500   ligament   Intervertebral disk of third thoracic vertebra
FJ2779   FMA55141   ligament   Left lateral thyrohyoid ligament
FJ1424M  FMA44250   ligament   Left long plantar ligament
FJ2763   FMA72311   ligament   Left stylohyoid ligament
FJ2790   FMA55138   ligament   Median thyrohyoid ligament
FJ2797   FMA55140   ligament   Right lateral thyrohyoid ligament
FJ1424   FMA44249   ligament   Right long plantar ligament
FJ2764   FMA72309   ligament   Right stylohyoid ligament
FJ1329   FMA49068   ligament   Trochlea of left superior oblique
FJ1380   FMA49067   ligament   Trochlea of right superior oblique

### Teeth (28)
FJ1258   FMA57143   tooth      Left lower central secondary incisor tooth
FJ1254   FMA55704   tooth      Left lower first secondary molar tooth
FJ1255   FMA55693   tooth      Left lower first secondary premolar tooth
FJ1259   FMA57141   tooth      Left lower lateral secondary incisor tooth
FJ1256   FMA55703   tooth      Left lower second secondary molar tooth
FJ1257   FMA55692   tooth      Left lower second secondary premolar tooth
FJ1260   FMA55687   tooth      Left lower secondary canine tooth
FJ1265   FMA55682   tooth      Left upper central secondary incisor tooth
FJ1261   FMA55699   tooth      Left upper first secondary molar tooth
FJ1262   FMA55690   tooth      Left upper first secondary premolar tooth
FJ1266   FMA55683   tooth      Left upper lateral secondary incisor tooth
FJ1263   FMA55700   tooth      Left upper second secondary molar tooth
FJ1264   FMA55691   tooth      Left upper second secondary premolar tooth
FJ1267   FMA55799   tooth      Left upper secondary canine tooth
FJ1272   FMA57142   tooth      Right lower central secondary incisor tooth
FJ1268   FMA55705   tooth      Right lower first secondary molar tooth
FJ1269   FMA55694   tooth      Right lower first secondary premolar tooth
FJ1273   FMA57140   tooth      Right lower lateral secondary incisor tooth
FJ1270   FMA55706   tooth      Right lower second secondary molar tooth
FJ1271   FMA55695   tooth      Right lower second secondary premolar tooth
FJ1274   FMA55686   tooth      Right lower secondary canine tooth
FJ1279   FMA55681   tooth      Right upper central secondary incisor tooth
FJ1276   FMA55698   tooth      Right upper first secondary molar tooth
FJ1277   FMA55689   tooth      Right upper first secondary premolar tooth
FJ1280   FMA55680   tooth      Right upper lateral secondary incisor tooth
FJ1275   FMA55697   tooth      Right upper second secondary molar tooth
FJ1278   FMA55688   tooth      Right upper second secondary premolar tooth
FJ1281   FMA55798   tooth      Right upper secondary canine tooth

### Muscles (443)
FJ1446M  FMA45875   muscle     Abdominal part of left pectoralis major
FJ1446   FMA45874   muscle     Abdominal part of right pectoralis major
FJ1390M  FMA37464   muscle     Abductor digiti minimi of left foot
FJ1466M  FMA37397   muscle     Abductor digiti minimi of left hand
FJ1390   FMA37463   muscle     Abductor digiti minimi of right foot
FJ1466   FMA37396   muscle     Abductor digiti minimi of right hand
FJ1467M  FMA34683   muscle     Acromial part of left deltoid
FJ1467   FMA34682   muscle     Acromial part of right deltoid
FJ1520M  FMA33583   muscle     Ascending part of left trapezius
FJ1520   FMA33581   muscle     Ascending part of right trapezius
FJ1468M  FMA34681   muscle     Clavicular part of left deltoid
FJ1447M  FMA34691   muscle     Clavicular part of left pectoralis major
FJ1468   FMA34680   muscle     Clavicular part of right deltoid
FJ1447   FMA34690   muscle     Clavicular part of right pectoralis major
FJ1521M  FMA33587   muscle     Descending part of left trapezius
FJ1521   FMA33586   muscle     Descending part of right trapezius
FJ3131   FMA13295   muscle     Diaphragm
FJ1450   FMA21930   muscle     External anal sphincter
FJ1450M  FMA21930   muscle     External anal sphincter
FJ2543   FMA21930   muscle     External anal sphincter
FJ2548   FMA21930   muscle     External anal sphincter
FJ1451M  FMA9756    muscle     External intercostal muscle (left)
FJ1451   FMA9756    muscle     External intercostal muscle (right)
